品种编号,品种名称,粒长(mm),粒宽(mm),长宽比,数据来源
25P002,滇系4号,5.0,2.9,1.72,普通粳稻平均值
25P003,兴育13A04,5.0,2.9,1.72,普通粳稻平均值
25P005,新稻28号,5.0,2.9,1.72,普通粳稻平均值
25P006,吉粳94号,5.2,2.8,1.86,中长粒型参考值
25P007,庆林518,5.0,2.9,1.72,普通粳稻平均值
25P008,庆林798,5.0,2.9,1.72,普通粳稻平均值
25P009,通院331,5.0,2.9,1.72,普通粳稻平均值
25P010,长白19号,5.2,2.8,1.86,中长粒型参考值
25P011,长白25号,5.2,2.8,1.86,中长粒型参考值
25P014,九稻46号,5.0,2.9,1.72,普通粳稻平均值
25P015,吉农大18号,5.0,2.9,1.72,普通粳稻平均值
25P016,吉农大31号,5.0,2.9,1.72,普通粳稻平均值
25P017,吉农大703,5.0,2.9,1.72,普通粳稻平均值
25P018,吉宏6号,5.0,2.9,1.72,普通粳稻平均值
25P019,吉粳512,5.2,2.8,1.86,中长粒型参考值
25P020,吉粳515,5.2,2.8,1.86,中长粒型参考值
25P021,吉粳529,5.2,2.8,1.86,中长粒型参考值
25P022,吉粳85号,5.2,2.8,1.86,中长粒型参考值
25P023,宏科185,5.0,2.9,1.72,普通粳稻平均值
25P024,福粳688,5.2,2.8,1.86,中长粒型参考值
25P026,通禾66,5.0,2.9,1.72,普通粳稻平均值
25P027,通禾836,5.0,2.9,1.72,普通粳稻平均值
25P028,通禾837,5.0,2.9,1.72,普通粳稻平均值
25P029,通禾838,5.0,2.9,1.72,普通粳稻平均值
25P030,通禾886,5.0,2.9,1.72,普通粳稻平均值
25P031,通育217,5.0,2.9,1.72,普通粳稻平均值
25P032,通育269,5.0,2.9,1.72,普通粳稻平均值
25P033,金丰188,5.0,2.9,1.72,普通粳稻平均值
25P034,长粳735,5.2,2.8,1.86,中长粒型参考值
25P035,黑糯1号,4.6,3.0,1.53,圆粒型参考值
25P037,东粳66,5.2,2.8,1.86,中长粒型参考值
25P039,吉粳102号,5.2,2.8,1.86,中长粒型参考值
25P040,吉粳105,5.2,2.8,1.86,中长粒型参考值
25P041,吉粳106号,5.2,2.8,1.86,中长粒型参考值
25P042,吉粳325,5.2,2.8,1.86,中长粒型参考值
25P043,吉粳88号,5.2,2.8,1.86,中长粒型参考值
25P044,通粳797,5.2,2.8,1.86,中长粒型参考值
25P045,通系926,5.0,2.9,1.72,普通粳稻平均值
25P046,东稻628,5.0,2.9,1.72,普通粳稻平均值
25P047,中科发6号,5.0,2.9,1.72,普通粳稻平均值
25P048,九稻33号,5.0,2.9,1.72,普通粳稻平均值
25P049,佳稻428,5.0,2.9,1.72,普通粳稻平均值
25P050,吉大788,5.0,2.9,1.72,普通粳稻平均值
25P051,吉粳81号,5.2,2.8,1.86,中长粒型参考值
25P052,吉粳95号,5.2,2.8,1.86,中长粒型参考值
25P053,通科39,5.0,2.9,1.72,普通粳稻平均值
25P054,通育256,5.0,2.9,1.72,普通粳稻平均值
25P055,宁粳40号,5.2,2.8,1.86,中长粒型参考值
25P056,宁粳43号,5.2,2.8,1.86,中长粒型参考值
25P058,宁粳27号,5.2,2.8,1.86,中长粒型参考值
25P059,宁粳38号,5.2,2.8,1.86,中长粒型参考值
25P060,宁粳50号,5.2,2.8,1.86,中长粒型参考值
25P061,宁粳52号,5.2,2.8,1.86,中长粒型参考值
25P062,晋11030,5.0,2.9,1.72,普通粳稻平均值
25P106,辽粳436,5.2,2.8,1.86,中长粒型参考值
25P107,沈农9903,5.0,2.9,1.72,普通粳稻平均值
25P108,沈粳4311,5.2,2.8,1.86,中长粒型参考值
25P109,辽星7号,5.2,2.8,1.86,中长粒型参考值
25P110,铁粳7号,5.2,2.8,1.86,中长粒型参考值
25P111,锦稻104,5.0,2.9,1.72,普通粳稻平均值
25P112,馨稻6号,5.0,2.9,1.72,普通粳稻平均值
25P113,千重浪2号,5.0,2.9,1.72,普通粳稻平均值
